1	human	BU	Orchid	None	\N	wgEncodeEH000001	2011-04-20 09:41:32
2678	human	CSHL	RnaSeq	SkMC	localization=cell rnaExtract=total	wgEncodeEH002678	2012-04-26 19:07:10
2679	human	CSHL	RnaSeq	HAoAF	localization=cell rnaExtract=total	wgEncodeEH002679	2012-04-26 19:07:09
2680	human	CSHL	RnaSeq	HAoEC	localization=cell rnaExtract=total	wgEncodeEH002680	2012-04-26 19:07:09
2681	human	CSHL	RnaSeq	HVMF	localization=cell rnaExtract=total	wgEncodeEH002681	2012-04-26 19:07:09
2682	human	CSHL	RnaSeq	HWP	localization=cell rnaExtract=total	wgEncodeEH002682	2012-04-26 19:07:09
2683	human	CSHL	RnaSeq	HMEpC	localization=cell rnaExtract=total	wgEncodeEH002683	2012-04-26 19:07:09
2684	human	CSHL	RnaSeq	hMSC-UC	localization=cell rnaExtract=total	wgEncodeEH002684	2012-04-26 19:07:10
2685	human	CSHL	RnaSeq	HPIEpC	localization=cell rnaExtract=total	wgEncodeEH002685	2012-05-07 13:42:02
2686	human	CSHL	RnaSeq	NHEM.f_M2	localization=cell rnaExtract=total	wgEncodeEH002686	2012-04-26 19:07:09
2687	human	CSHL	RnaSeq	NHEM_M2	localization=cell rnaExtract=total	wgEncodeEH002687	2012-04-26 19:07:09
2689	human	Duke	AffyExonArray	A549	\N	wgEncodeEH002689	2012-04-04 10:37:06
2690	human	Duke	AffyExonArray	Colo829	\N	wgEncodeEH002690	2012-04-04 10:37:06
2691	human	Duke	AffyExonArray	H7-hESC	\N	wgEncodeEH002691	2012-04-04 10:37:06
2692	human	Duke	AffyExonArray	HEK293T	\N	wgEncodeEH002692	2012-04-04 10:37:06
2693	human	Duke	AffyExonArray	HSMM_FSHD	\N	wgEncodeEH002693	2012-04-04 10:37:06
2694	human	Duke	AffyExonArray	HSMMtube_FSHD	\N	wgEncodeEH002694	2012-04-04 10:37:06
2695	human	Duke	AffyExonArray	K562	treatment=NaBut	wgEncodeEH002695	2012-04-04 10:37:06
2696	human	Duke	AffyExonArray	MCF-7	treatment=CTCF_shRNA_knockdown	wgEncodeEH002696	2012-04-04 10:37:06
2697	human	Duke	AffyExonArray	MCF-7	treatment=Hypoxia_LacAcid	wgEncodeEH002697	2012-04-04 10:37:06
2698	human	Duke	AffyExonArray	MCF-7	treatment=Randomized_shRNA_control	wgEncodeEH002698	2012-04-04 10:37:06
2699	human	Duke	AffyExonArray	Mel_2183	\N	wgEncodeEH002699	2012-04-04 10:37:06
2700	human	Duke	AffyExonArray	UCH-1	\N	wgEncodeEH002700	2012-04-04 10:37:06
2701	human	Duke	AffyExonArray	iPS_CWRU1	\N	wgEncodeEH002701	2012-04-04 10:37:06
2702	human	Duke	AffyExonArray	iPS_NIHi11	\N	wgEncodeEH002702	2012-04-04 10:37:06
2703	human	Duke	AffyExonArray	iPS_NIHi7	\N	wgEncodeEH002703	2012-04-04 10:37:06
2704	human	Duke	AffyExonArray	FibroP_AG08395	\N	wgEncodeEH002704	2012-04-04 10:37:06
2705	human	Duke	AffyExonArray	FibroP_AG08396	\N	wgEncodeEH002705	2012-04-04 10:37:06
2706	human	Duke	AffyExonArray	FibroP_AG20443	\N	wgEncodeEH002706	2012-04-04 10:37:06
2707	mouse	LICR-m	ChipSeq	CH12	age=immortalized antibody=H3K36me3	wgEncodeEM002707	2012-04-04 17:07:16
2708	mouse	LICR-m	ChipSeq	Cerebellum	age=adult-8wks antibody=H3K27me3	wgEncodeEM002708	2012-04-04 17:07:17
2709	mouse	LICR-m	ChipSeq	ES-Bruce4	age=E0 antibody=H3K27me3	wgEncodeEM002709	2012-04-04 17:07:17
2710	mouse	LICR-m	ChipSeq	ES-Bruce4	age=E0 antibody=H3K36me3	wgEncodeEM002710	2012-04-04 17:07:17
2711	mouse	LICR-m	ChipSeq	Kidney	age=adult-8wks antibody=H3K27me3	wgEncodeEM002711	2012-04-04 17:07:17
2712	mouse	LICR-m	ChipSeq	Kidney	age=adult-8wks antibody=H3K36me3	wgEncodeEM002712	2012-04-04 17:07:17
2713	mouse	LICR-m	ChipSeq	SmIntestine	age=adult-8wks antibody=H3K27me3	wgEncodeEM002713	2012-04-04 17:07:17
2714	mouse	LICR-m	ChipSeq	SmIntestine	age=adult-8wks antibody=H3K36me3	wgEncodeEM002714	2012-04-04 17:07:17
2715	mouse	LICR-m	ChipSeq	Spleen	age=adult-8wks antibody=H3K36me3	wgEncodeEM002715	2012-04-04 17:07:17
2716	mouse	LICR-m	ChipSeq	Testis	age=adult-8wks antibody=H3K36me3	wgEncodeEM002716	2012-04-04 17:07:17
2717	mouse	LICR-m	ChipSeq	Thymus	age=adult-8wks antibody=H3K36me3	wgEncodeEM002717	2012-04-04 17:07:17
2718	mouse	LICR-m	ChipSeq	WholeBrain	age=E14.5 antibody=H3K36me3	wgEncodeEM002718	2012-04-04 17:07:17
2719	mouse	LICR-m	ChipSeq	B-cell_(CD43-)	age=adult-8wks antibody=H3K27me3	wgEncodeEM002719	2012-04-04 17:07:16
2720	mouse	LICR-m	ChipSeq	B-cell_(CD43-)	age=adult-8wks antibody=H3K36me3	wgEncodeEM002720	2012-04-04 17:07:16
2721	mouse	LICR-m	ChipSeq	ES-Bruce4	age=E0 antibody=H3K9me3	wgEncodeEM002721	2012-04-04 17:07:17
2722	mouse	LICR-m	ChipSeq	Spleen	age=adult-8wks antibody=H3K27me3	wgEncodeEM002722	2012-04-04 17:07:17
2723	mouse	LICR-m	ChipSeq	Testis	age=adult-8wks antibody=H3K27me3	wgEncodeEM002723	2012-04-04 17:07:17
2724	mouse	LICR-m	ChipSeq	Thymus	age=adult-8wks antibody=H3K27me3	wgEncodeEM002724	2012-04-04 17:07:17
2725	mouse	LICR-m	ChipSeq	WholeBrain	age=E14.5 antibody=H3K27me3	wgEncodeEM002725	2012-04-04 17:07:17
2726	mouse	LICR-m	ChipSeq	WholeBrain	age=E14.5 antibody=H3K9me3	wgEncodeEM002726	2012-04-04 17:07:17
2727	human	UW	ChipSeq	K562	antibody=H3K4me3 treatment=ZNF_knockout_2C10_C5	wgEncodeEH002727	2012-04-06 16:09:00
2728	human	UW	ChipSeq	K562	antibody=H3K4me3 treatment=ZNF_knockout_4C50_C4	wgEncodeEH002728	2012-04-06 16:09:00
2729	human	UW	ChipSeq	K562	antibody=H3K4me3 treatment=ZNF_knockout_A4.1-C6	wgEncodeEH002729	2012-04-06 16:09:00
2730	human	UW	ChipSeq	K562	antibody=H3K4me3 treatment=ZNF_knockout_F4.1-B2	wgEncodeEH002730	2012-04-06 16:09:00
2731	human	UW	ChipSeq	K562	antibody=H3K4me3 treatment=ZNF_knockout_P5	wgEncodeEH002731	2012-04-06 16:09:00
2732	mouse	Caltech-m	RnaSeq	C2C12	readType=2x75	wgEncodeEM002732	2012-04-06 11:14:24
2733	mouse	Caltech-m	RnaSeq	C2C12	readType=2x75 treatment=EqS_2.0pct_60hr	wgEncodeEM002733	2012-04-06 11:14:24
2734	mouse	Caltech-m	RnaSeq	10T1/2	readType=2x75 treatment=EqS_2.0pct_60hr	wgEncodeEM002734	2012-04-06 11:14:24
2735	mouse	Caltech-m	RnaSeq	10T1/2	readType=2x75	wgEncodeEM002735	2012-04-06 11:14:24
2736	human	RIKEN	Cage	A549	localization=cytosol rnaExtract=longPolyA	wgEncodeEH002736	2012-04-18 13:41:56
2737	human	RIKEN	Cage	A549	localization=nucleus rnaExtract=longPolyA	wgEncodeEH002737	2012-04-18 13:41:56
2738	human	RIKEN	Cage	CD20+	localization=cell rnaExtract=longPolyA	wgEncodeEH002738	2012-04-18 13:41:56
2739	human	RIKEN	Cage	CD34+_Mobilized	localization=cell rnaExtract=longPolyA	wgEncodeEH002739	2012-04-18 13:41:56
2740	human	RIKEN	Cage	HAoAF	localization=cell rnaExtract=longPolyA	wgEncodeEH002740	2012-04-18 13:41:56
2741	human	RIKEN	Cage	HAoEC	localization=cell rnaExtract=longPolyA	wgEncodeEH002741	2012-04-18 13:41:56
2742	human	RIKEN	Cage	HCH	localization=cell rnaExtract=longPolyA	wgEncodeEH002742	2012-04-18 13:41:56
2743	human	RIKEN	Cage	HFDPC	localization=cell rnaExtract=longPolyA	wgEncodeEH002743	2012-04-18 13:41:56
2744	human	RIKEN	Cage	HMEpC	localization=cell rnaExtract=longPolyA	wgEncodeEH002744	2012-04-18 13:41:56
2745	human	RIKEN	Cage	HOB	localization=cell rnaExtract=longPolyA	wgEncodeEH002745	2012-04-18 13:41:56
2746	human	RIKEN	Cage	HPC-PL	localization=cell rnaExtract=longPolyA	wgEncodeEH002746	2012-04-18 13:41:56
2747	human	RIKEN	Cage	HPIEpC	localization=cell rnaExtract=longPolyA	wgEncodeEH002747	2012-04-18 13:41:56
2748	human	RIKEN	Cage	HSaVEC	localization=cell rnaExtract=longPolyA	wgEncodeEH002748	2012-04-18 13:41:56
2749	human	RIKEN	Cage	HUVEC	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH002749	2012-04-18 13:41:56
2750	human	RIKEN	Cage	HVMF	localization=cell rnaExtract=longPolyA	wgEncodeEH002750	2012-04-18 13:41:56
2751	human	RIKEN	Cage	HWP	localization=cell rnaExtract=longPolyA	wgEncodeEH002751	2012-04-18 13:41:56
2752	human	RIKEN	Cage	IMR90	localization=cytosol rnaExtract=longPolyA	wgEncodeEH002752	2012-04-18 13:41:56
2753	human	RIKEN	Cage	IMR90	localization=nucleus rnaExtract=longPolyA	wgEncodeEH002753	2012-04-18 13:41:56
2754	human	RIKEN	Cage	IMR90	localization=cell rnaExtract=longPolyA	wgEncodeEH002754	2012-04-18 13:41:56
2755	human	RIKEN	Cage	MCF-7	localization=cytosol rnaExtract=longPolyA	wgEncodeEH002755	2012-04-18 13:41:56
2756	human	RIKEN	Cage	MCF-7	localization=nucleus rnaExtract=longPolyA	wgEncodeEH002756	2012-04-18 13:41:56
2757	human	RIKEN	Cage	Monocytes-CD14+	localization=cell rnaExtract=longPolyA	wgEncodeEH002757	2012-04-18 13:41:56
2758	human	RIKEN	Cage	NHDF	localization=cell rnaExtract=longPolyA	wgEncodeEH002758	2012-04-18 13:41:56
2759	human	RIKEN	Cage	NHEM.f_M2	localization=cell rnaExtract=longPolyA	wgEncodeEH002759	2012-04-18 13:41:56
2760	human	RIKEN	Cage	NHEM_M2	localization=cell rnaExtract=longPolyA	wgEncodeEH002760	2012-04-18 13:41:56
2761	human	RIKEN	Cage	SK-N-SH	localization=cytosol rnaExtract=longPolyA	wgEncodeEH002761	2012-04-18 13:41:56
2762	human	RIKEN	Cage	SK-N-SH	localization=nucleus rnaExtract=longPolyA	wgEncodeEH002762	2012-04-18 13:41:56
2763	human	RIKEN	Cage	SK-N-SH	localization=cell rnaExtract=longPolyA	wgEncodeEH002763	2012-04-18 13:41:56
2764	human	RIKEN	Cage	SkMC	localization=cell rnaExtract=longPolyA	wgEncodeEH002764	2012-04-18 13:41:56
2765	human	RIKEN	Cage	hMSC-AT	localization=cell rnaExtract=longPolyA	wgEncodeEH002765	2012-04-18 13:41:56
2766	human	RIKEN	Cage	hMSC-BM	localization=cell rnaExtract=longPolyA	wgEncodeEH002766	2012-04-18 13:41:56
2767	human	RIKEN	Cage	hMSC-UC	localization=cell rnaExtract=longPolyA	wgEncodeEH002767	2012-04-18 13:41:56
2768	human	FSU	RepliChip	BG02ES	\N	wgEncodeEH002768	2012-04-17 10:56:12
2769	human	FSU	RepliChip	GM06990	\N	wgEncodeEH002769	2012-04-17 10:56:12
2770	human	FSU	RepliChip	H1-hESC	\N	wgEncodeEH002770	2012-04-17 10:56:12
2771	human	FSU	RepliChip	H7-hESC	\N	wgEncodeEH002771	2012-04-17 10:56:12
2772	human	FSU	RepliChip	H9ES	\N	wgEncodeEH002772	2012-04-17 10:56:12
2773	human	FSU	RepliChip	HeLa-S3	\N	wgEncodeEH002773	2012-04-17 10:56:12
2774	human	FSU	RepliChip	IMR90	\N	wgEncodeEH002774	2012-04-17 10:56:12
2775	human	RIKEN	Cage	HeLa-S3	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH002775	2012-04-24 17:54:26
2776	mouse	Stanford-m	ChipSeq	MEL	antibody=CTCF_(SC-15914) control=IgG-Yale treatment=DMSO_2.0pct	wgEncodeEM002776	2012-04-30 17:17:41
2777	mouse	Stanford-m	ChipSeq	MEL	antibody=Input control=IgG-Yale treatment=DMSO_2.0pct	wgEncodeEM002777	2012-04-30 17:17:41
2778	mouse	Stanford-m	ChipSeq	CH12	antibody=ETS1 control=IgG-rab	wgEncodeEM002778	2012-05-02 15:49:25
2779	mouse	Stanford-m	ChipSeq	MEL	antibody=Pol2 control=IgG-rab treatment=DMSO_2.0pct	wgEncodeEM002779	2012-05-02 15:49:25
2780	mouse	Stanford-m	ChipSeq	MEL	antibody=USF2 control=IgG-rab	wgEncodeEM002780	2012-05-02 15:49:25
2781	mouse	Stanford-m	ChipSeq	MEL	antibody=CTCF_(SC-15914) control=std treatment=DMSO_2.0pct	wgEncodeEM002781	2012-05-02 15:49:25
2782	mouse	Stanford-m	ChipSeq	MEL	antibody=Input control=IgG-rat treatment=DMSO_2.0pct	wgEncodeEM002782	2012-05-02 15:49:25
2783	mouse	Stanford-m	ChipSeq	CH12	antibody=COREST_(sc-30189) control=IgG-rab	wgEncodeEM002783	2012-05-02 15:49:25
2784	mouse	Stanford-m	ChipSeq	CH12	antibody=SIN3A_(NB600-1263) control=IgG-rab	wgEncodeEM002784	2012-05-02 15:49:25
2785	mouse	Stanford-m	ChipSeq	MEL	antibody=SIN3A_(NB600-1263) control=IgG-rab	wgEncodeEM002785	2012-05-02 15:49:25
2786	mouse	Stanford-m	ChipSeq	CH12	antibody=UBF_(sc-13125) control=IgG-rab	wgEncodeEM002786	2012-05-02 15:49:25
2787	mouse	Stanford-m	ChipSeq	CH12	antibody=ZKSCAN1_(HPA006672) control=IgG-rab	wgEncodeEM002787	2012-05-02 15:49:25
2788	mouse	Stanford-m	ChipSeq	ES-E14	antibody=Input control=std	wgEncodeEM002788	2012-05-02 15:49:25
2789	mouse	Stanford-m	ChipSeq	MEL	antibody=ETS1 control=IgG-rab	wgEncodeEM002789	2012-05-02 15:49:25
2790	mouse	Stanford-m	ChipSeq	MEL	antibody=GATA-1 control=std treatment=DMSO_2.0pct	wgEncodeEM002790	2012-05-02 15:49:25
2791	mouse	Stanford-m	ChipSeq	MEL	antibody=Input control=std treatment=DMSO_2.0pct	wgEncodeEM002791	2012-05-02 15:49:25
2792	mouse	Stanford-m	ChipSeq	MEL	antibody=MafK_(ab50322) control=std treatment=DMSO_2.0pct	wgEncodeEM002792	2012-05-02 15:49:25
2793	mouse	Stanford-m	ChipSeq	MEL	antibody=ZKSCAN1_(HPA006672) control=IgG-rab	wgEncodeEM002793	2012-05-02 15:49:25
2794	mouse	Stanford-m	ChipSeq	ES-E14	antibody=MafK_(ab50322) control=std	wgEncodeEM002794	2012-05-02 15:49:25
2795	human	Stanford	ChipSeq	H1-hESC	antibody=c-Myc control=IgG-rab	wgEncodeEH002795	2012-05-01 16:03:33
2796	human	Stanford	ChipSeq	HepG2	antibody=Max control=IgG-rab	wgEncodeEH002796	2012-05-01 16:03:33
2797	human	Stanford	ChipSeq	K562	antibody=CTCF_(SC-15914) control=IgG-rab	wgEncodeEH002797	2012-05-01 16:03:34
2798	human	Stanford	ChipSeq	K562	antibody=IRF1 control=std treatment=IFNa6h	wgEncodeEH002798	2012-05-01 16:03:34
2799	human	Stanford	ChipSeq	K562	antibody=IRF1 control=std treatment=IFNg30	wgEncodeEH002799	2012-05-01 16:03:34
2800	human	Stanford	ChipSeq	K562	antibody=c-Myc control=IgG-rab	wgEncodeEH002800	2012-05-01 16:03:34
2801	human	Stanford	ChipSeq	H1-hESC	antibody=BRCA1_(A300-000A) control=IgG-rab	wgEncodeEH002801	2012-05-01 16:03:32
2802	human	Stanford	ChipSeq	H1-hESC	antibody=Znf143_(16618-1-AP) control=IgG-rab	wgEncodeEH002802	2012-05-01 16:03:33
2803	human	Stanford	ChipSeq	HepG2	antibody=Input control=IgG-goat	wgEncodeEH002803	2012-05-01 16:03:33
2804	human	Stanford	ChipSeq	K562	antibody=MafF_(M8194) control=IgG-rab	wgEncodeEH002804	2012-05-01 16:03:34
2805	human	Stanford	ChipSeq	K562	antibody=c-Jun control=std treatment=IFNa30	wgEncodeEH002805	2012-05-01 16:03:34
2806	human	Stanford	ChipSeq	GM12878	antibody=Max control=IgG-mus	wgEncodeEH002806	2012-05-01 16:03:31
2807	human	Stanford	ChipSeq	IMR90	antibody=CEBPB control=IgG-rab	wgEncodeEH002807	2012-05-01 16:03:33
2808	human	Stanford	ChipSeq	IMR90	antibody=Input control=IgG-rab	wgEncodeEH002808	2012-05-01 16:03:33
2809	human	Stanford	ChipSeq	IMR90	antibody=Pol2 control=IgG-rab	wgEncodeEH002809	2012-05-01 16:03:34
2810	human	Stanford	ChipSeq	IMR90	antibody=Rad21 control=IgG-rab	wgEncodeEH002810	2012-05-01 16:03:34
2811	human	USC	ChipSeq	GM12878	antibody=IKZF1_(IkN)_(UCLA) control=std	wgEncodeEH002811	2012-05-01 16:03:34
2812	human	USC	ChipSeq	MCF-7	antibody=GATA3_(SC-269) control=UCDavis	wgEncodeEH002812	2012-05-01 16:03:35
2813	human	USC	ChipSeq	HeLa-S3	antibody=TCF7L2_C9B9_(2565) control=UCDavis	wgEncodeEH002813	2012-05-01 16:03:35
2814	human	Stanford	ChipSeq	K562	antibody=COREST_(sc-30189) control=IgG-rab	wgEncodeEH002814	2012-05-01 16:03:34
2815	human	Harvard	ChipSeq	MCF10A-Er-Src	antibody=c-Fos control=Harvard_Control treatment=EtOH_0.01pct	wgEncodeEH002815	2012-05-01 16:03:31
2816	human	Harvard	ChipSeq	MCF10A-Er-Src	antibody=c-Myc control=Harvard_Control treatment=EtOH_0.01pct	wgEncodeEH002816	2012-05-01 16:03:31
2817	human	Stanford	ChipSeq	A549	antibody=BHLHE40 control=IgG-rab	wgEncodeEH002817	2012-05-01 16:03:31
2818	human	Stanford	ChipSeq	A549	antibody=CEBPB control=IgG-rab	wgEncodeEH002818	2012-05-01 16:03:31
2819	human	Stanford	ChipSeq	A549	antibody=Input control=IgG-rab	wgEncodeEH002819	2012-05-01 16:03:31
2820	human	Stanford	ChipSeq	A549	antibody=Max control=IgG-rab	wgEncodeEH002820	2012-05-01 16:03:31
2821	human	Stanford	ChipSeq	A549	antibody=Pol2(phosphoS2) control=IgG-rab	wgEncodeEH002821	2012-05-01 16:03:31
2822	human	Stanford	ChipSeq	A549	antibody=Rad21 control=IgG-rab	wgEncodeEH002822	2012-05-01 16:03:31
2823	human	Stanford	ChipSeq	GM12878	antibody=CHD1_(A301-218A) control=IgG-mus	wgEncodeEH002823	2012-05-01 16:03:31
2824	human	Stanford	ChipSeq	GM12878	antibody=p300 control=IgG-mus	wgEncodeEH002824	2012-05-01 16:03:32
2825	human	Stanford	ChipSeq	H1-hESC	antibody=CEBPB control=IgG-rab	wgEncodeEH002825	2012-05-01 16:03:32
2826	human	Stanford	ChipSeq	H1-hESC	antibody=CHD1_(A301-218A) control=IgG-rab	wgEncodeEH002826	2012-05-01 16:03:32
2827	human	Stanford	ChipSeq	H1-hESC	antibody=CHD2_(AB68301) control=IgG-rab	wgEncodeEH002827	2012-05-01 16:03:32
2828	human	Stanford	ChipSeq	H1-hESC	antibody=MafK_(ab50322) control=IgG-rab	wgEncodeEH002828	2012-05-01 16:03:32
2829	human	Stanford	ChipSeq	H1-hESC	antibody=Mxi1_(AF4185) control=IgG-rab	wgEncodeEH002829	2012-05-01 16:03:32
2830	human	Stanford	ChipSeq	HeLa-S3	antibody=Max control=IgG-rab	wgEncodeEH002830	2012-05-01 16:03:33
2831	human	Stanford	ChipSeq	IMR90	antibody=CTCF_(SC-15914) control=IgG-rab	wgEncodeEH002831	2012-05-01 16:03:33
2832	human	Stanford	ChipSeq	IMR90	antibody=MafK_(ab50322) control=IgG-rab	wgEncodeEH002832	2012-05-01 16:03:33
2833	human	Stanford	ChipSeq	K562	antibody=Pol2(phosphoS2) control=IgG-rab	wgEncodeEH002833	2012-05-01 16:03:34
2834	human	Stanford	ChipSeq	K562	antibody=p300 control=IgG-rab	wgEncodeEH002834	2012-05-01 16:03:34
2835	human	Harvard	ChipSeq	MCF10A-Er-Src	antibody=E2F4 control=Harvard_Control treatment=4OHTAM_1uM_36hr	wgEncodeEH002835	2012-05-01 16:03:30
2836	human	Harvard	ChipSeq	MCF10A-Er-Src	antibody=STAT3 control=Harvard_Control treatment=4OHTAM_1uM_12hr	wgEncodeEH002836	2012-05-01 16:03:30
2837	human	Harvard	ChipSeq	MCF10A-Er-Src	antibody=c-Fos control=Harvard_Control treatment=4OHTAM_1uM_12hr	wgEncodeEH002837	2012-05-01 16:03:30
2838	human	Harvard	ChipSeq	MCF10A-Er-Src	antibody=c-Fos control=Harvard_Control treatment=4OHTAM_1uM_4hr	wgEncodeEH002838	2012-05-01 16:03:31
2839	human	Harvard	ChipSeq	MCF10A-Er-Src	antibody=c-Fos control=Harvard_Control treatment=4OHTAM_1uM_36hr	wgEncodeEH002839	2012-05-01 16:03:31
2840	human	Harvard	ChipSeq	MCF10A-Er-Src	antibody=c-Myc control=Harvard_Control treatment=4OHTAM_1uM_4hr	wgEncodeEH002840	2012-05-01 16:03:31
2841	human	Stanford	ChipSeq	GM12878	antibody=COREST_(sc-30189) control=IgG-mus	wgEncodeEH002841	2012-05-01 16:03:31
2842	human	Stanford	ChipSeq	H1-hESC	antibody=Bach1_(sc-14700) control=IgG-rab	wgEncodeEH002842	2012-05-01 16:03:32
2843	human	Stanford	ChipSeq	H1-hESC	antibody=GTF2F1_(AB28179) control=IgG-rab	wgEncodeEH002843	2012-05-01 16:03:32
2844	human	Stanford	ChipSeq	HeLa-S3	antibody=COREST_(sc-30189) control=IgG-rab	wgEncodeEH002844	2012-05-01 16:03:33
2845	human	Stanford	ChipSeq	HepG2	antibody=COREST_(sc-30189) control=IgG-rab	wgEncodeEH002845	2012-05-01 16:03:33
2846	human	Stanford	ChipSeq	K562	antibody=Bach1_(sc-14700) control=IgG-rab	wgEncodeEH002846	2012-05-01 16:03:34
2847	human	Stanford	ChipSeq	K562	antibody=COREST_(ab24166) control=IgG-rab	wgEncodeEH002847	2012-05-01 16:03:34
2848	human	Stanford	ChipSeq	K562	antibody=TBLR1_(NB600-270) control=IgG-rab	wgEncodeEH002848	2012-05-01 16:03:34
2849	human	Stanford	ChipSeq	K562	antibody=TBLR1_(ab24550) control=IgG-rab	wgEncodeEH002849	2012-05-01 16:03:34
2850	human	Stanford	ChipSeq	K562	antibody=UBTF_(SAB1404509) control=IgG-mus	wgEncodeEH002850	2012-05-01 16:03:34
2851	human	Stanford	ChipSeq	GM12878	antibody=ELK1_(1277-1) control=IgG-mus	wgEncodeEH002851	2012-05-01 16:03:31
2852	human	Stanford	ChipSeq	GM12878	antibody=MAZ_(ab85725) control=IgG-mus	wgEncodeEH002852	2012-05-01 16:03:31
2853	human	Stanford	ChipSeq	GM12878	antibody=TBLR1_(ab24550) control=IgG-mus	wgEncodeEH002853	2012-05-01 16:03:32
2854	human	Stanford	ChipSeq	H1-hESC	antibody=SIN3A_(NB600-1263) control=IgG-rab	wgEncodeEH002854	2012-05-01 16:03:32
2855	human	Stanford	ChipSeq	HeLa-S3	antibody=MAZ_(ab85725) control=IgG-rab	wgEncodeEH002855	2012-05-01 16:03:33
2856	human	Stanford	ChipSeq	HeLa-S3	antibody=MafK_(ab50322) control=IgG-rab	wgEncodeEH002856	2012-05-01 16:03:33
2857	human	Stanford	ChipSeq	HeLa-S3	antibody=ZKSCAN1_(HPA006672) control=IgG-rab	wgEncodeEH002857	2012-05-01 16:03:33
2858	human	Stanford	ChipSeq	HepG2	antibody=ARID3A_(NB100-279) control=IgG-rab	wgEncodeEH002858	2012-05-01 16:03:33
2859	human	Stanford	ChipSeq	HepG2	antibody=CEBPZ control=IgG-rab	wgEncodeEH002859	2012-05-01 16:03:33
2860	human	Stanford	ChipSeq	HepG2	antibody=MAZ_(ab85725) control=IgG-rab	wgEncodeEH002860	2012-05-01 16:03:33
2861	human	Stanford	ChipSeq	K562	antibody=ARID3A_(sc-8821) control=IgG-rab	wgEncodeEH002861	2012-05-01 16:03:34
2862	human	Stanford	ChipSeq	K562	antibody=MAZ_(ab85725) control=IgG-rab	wgEncodeEH002862	2012-05-01 16:03:34
2863	human	Stanford	ChipSeq	K562	antibody=UBF_(sc-13125) control=IgG-mus	wgEncodeEH002863	2012-05-01 16:03:34
2864	human	Stanford	ChipSeq	HeLa-S3	antibody=ELK1_(1277-1) control=IgG-rab	wgEncodeEH002864	2012-05-01 16:03:33
2865	human	Harvard	ChipSeq	K562	antibody=ATF1_(06-325) control=std	wgEncodeEH002865	2012-05-01 16:03:30
2866	human	USC	ChipSeq	GM08714	antibody=ZNF274 control=UCDavis	wgEncodeEH002866	2012-05-01 16:03:34
2867	human	Stanford	ChipSeq	GM12878	antibody=E2F4 control=IgG-mus	wgEncodeEH002867	2012-05-01 16:03:31
2868	human	Stanford	ChipSeq	GM12878	antibody=SIN3A_(NB600-1263) control=IgG-mus	wgEncodeEH002868	2012-05-01 16:03:32
2869	human	Stanford	ChipSeq	K562	antibody=Max control=IgG-rab	wgEncodeEH002869	2012-05-01 16:03:34
2870	human	USC	ChipSeq	GM08714	antibody=Input control=UCDavis	wgEncodeEH002870	2012-05-01 16:03:34
2871	human	Harvard	ChipSeq	MCF10A-Er-Src	antibody=Input control=Harvard_Control	wgEncodeEH002871	2012-05-01 16:03:31
2873	human	USC	ChipSeq	HCT-116	antibody=H3K27ac control=UCDavis	wgEncodeEH002873	2012-05-17 11:53:26
2874	human	USC	ChipSeq	HCT-116	antibody=H3K4me1 control=UCDavis	wgEncodeEH002874	2012-05-17 11:53:26
2875	human	USC	ChipSeq	MCF-7	antibody=H3K9me3 control=UCDavis	wgEncodeEH002875	2012-05-17 11:53:26
2876	human	USC	ChipSeq	PANC-1	antibody=H3K4me3B control=UCDavis	wgEncodeEH002876	2012-05-17 11:53:26
2877	human	CSHL	RnaSeq	hMNC-CB	localization=cell rnaExtract=total	wgEncodeEH002877	2012-05-17 12:17:53
2878	human	CSHL	RnaSeq	hMNC-PB	localization=cell rnaExtract=total	wgEncodeEH002878	2012-05-17 12:17:53
2879	human	CSHL	RnaSeq	CD20+	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH002879	2012-05-18 11:11:26
2880	human	CSHL	RnaSeq	HAoAF	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH002880	2012-05-18 11:11:26
2881	human	CSHL	RnaSeq	HOB	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH002881	2012-05-18 11:11:26
2882	human	CSHL	RnaSeq	HVMF	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH002882	2012-05-18 11:11:26
2883	human	CSHL	RnaSeq	NHDF	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH002883	2012-05-18 11:11:26
2884	human	CSHL	RnaSeq	SkMC	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH002884	2012-05-18 11:11:26
2885	human	CSHL	RnaSeq	HAoEC	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH002885	2012-05-18 11:11:26
2886	human	CSHL	RnaSeq	HCH	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH002886	2012-05-18 11:11:26
2887	human	CSHL	RnaSeq	HFDPC	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH002887	2012-05-18 11:11:26
